,Game_ID,Session_ID,LineUp_ID,Game_Status_ID,Min,Lineup_Score,Oppo_Score,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_DefReb,Oppo_OffReb,Oppo_TtlReb,Oppo_FTA,Oppo_FTm,Oppo_FTM,Oppo_Ast,Oppo_Stl,Player_Name,Pts,OffReb,DefReb,TtlReb,FGA,FGM,FGm,Two_FGA,Two_FGM,Two_FGm,Three_FGA,Three_FGM,Three_FGm,Ast,Stl,FTA,FTM,FTm
541,9,2,5,1,1.516666667,4,2,2,0,2,1,0,1,1,0,1,0,1,1,2,0,2,0,1,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,9,2,5,1,1.516666667,4,2,2,0,2,1,0,1,1,0,1,0,1,1,2,0,2,0,1,Jake Digiorgio,2,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
543,9,2,5,1,1.516666667,4,2,2,0,2,1,0,1,1,0,1,0,1,1,2,0,2,0,1,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,9,2,5,1,1.516666667,4,2,2,0,2,1,0,1,1,0,1,0,1,1,2,0,2,0,1,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,9,2,6,1,1.533333333,0,5,3,2,1,2,1,1,1,1,0,2,0,2,0,0,0,1,0,Brett Ott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,9,2,6,1,1.533333333,0,5,3,2,1,2,1,1,1,1,0,2,0,2,0,0,0,1,0,Jake Digiorgio,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
547,9,2,6,1,1.533333333,0,5,3,2,1,2,1,1,1,1,0,2,0,2,0,0,0,1,0,Max Hisatake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,9,2,6,1,1.533333333,0,5,3,2,1,2,1,1,1,1,0,2,0,2,0,0,0,1,0,Anthony Mosley,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
549,9,2,6,1,1.533333333,0,5,3,2,1,2,1,1,1,1,0,2,0,2,0,0,0,1,0,Malik Howze,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
550,9,2,7,1,1.283333333,2,2,2,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,Capriest Gardner,2,1,0,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0
551,9,2,7,1,1.283333333,2,2,2,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,Brett Ott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,9,2,7,1,1.283333333,2,2,2,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,Jake Digiorgio,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
553,9,2,7,1,1.283333333,2,2,2,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,9,2,7,1,1.283333333,2,2,2,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,Malik Howze,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,9,2,8,1,0.816666667,2,2,1,0,1,0,0,0,1,0,1,1,0,1,2,0,2,0,0,Quentin Forberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
