#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1256,Tennessee State Tigers,30,100%,75.4,65.8,0.872,30.2,22.1,52.3,42.2%,49.2%,18.6%,14.4%,10%,39.7%
1257,Tennessee Tech Golden Eagles,33,100%,82,72.5,0.885,33.2,25.5,58.6,43.4%,49.7%,16.6%,14.3%,9.9%,40.8%
1258,Tennessee Volunteers,35,100%,78.6,73.4,0.934,32.4,25.2,57.7,43.8%,50.5%,14.3%,14.1%,8.8%,43%
1259,Tennessee Wesleyan Bulldogs,28,100%,88.3,74.8,0.847,38.1,27,65.1,41.4%,47.2%,16.5%,12.5%,9.4%,38.9%
1260,Tennessee-Martin Skyhawks,31,100%,79.1,68.6,0.868,32.6,26,58.5,44.4%,50.1%,17.9%,9.5%,7.1%,39.9%
1261,Texas A&M Aggies,35,100%,83,74.4,0.897,32.9,27.7,60.6,45.7%,51%,16.2%,13.1%,9%,42.1%
1262,Texas A&M-(Commerce) Lions,31,100%,81.3,75.3,0.927,32.1,26.5,58.6,45.3%,52.4%,16.4%,13.4%,8.2%,42.8%
1263,Texas A&M-(Corpus Christi) Islanders,29,100%,79.7,67.2,0.844,30.6,23.8,54.4,43.7%,48.5%,20%,14.5%,10%,39.7%
1264,Texas A&M-(International) Dustdevils,28,100%,72,61.5,0.853,29.8,21.5,51.4,41.9%,49.6%,18.5%,11.9%,8.4%,38.5%
1265,Texas A&M-(Kingsville) Javelinas,28,100%,81,66.9,0.826,34.5,23.1,57.6,40.1%,46.2%,17.1%,14%,9.6%,38.4%
1266,Texas College Steers,12,100%,92.2,74.3,0.807,38.5,26.7,65.2,40.9%,45.5%,18.3%,13.1%,9.3%,38.5%
1267,Texas Lutheran Bulldogs,27,100%,82.3,71.7,0.871,35,24.3,59.4,41%,47.8%,16.6%,13.2%,8.9%,39.7%
1268,Texas Southern Tigers,36,100%,83.6,77.6,0.929,33.5,25.7,59.3,43.4%,50.2%,15.2%,16.3%,11.3%,42.8%
1269,Texas State Bobcats,34,100%,75.5,66.2,0.877,30.5,23.4,53.9,43.5%,49.5%,16.7%,14.1%,10.1%,41%
1270,Texas Tech Red Raiders,37,100%,78.7,73.9,0.938,30.9,25.9,56.8,45.6%,51.6%,14.7%,15.1%,10%,44.1%
1271,Texas Wesleyan Rams,30,100%,86.2,81,0.939,33.1,28.8,61.9,46.5%,53.3%,17%,13%,8.2%,43.1%
1272,Texas-(Arlington) Mavericks,33,100%,85.2,77.2,0.906,33.6,27.2,60.8,44.7%,51.8%,17.3%,13.3%,9.7%,41.7%
1273,Texas-(Austin) Longhorns,34,100%,79.4,72,0.907,33.1,25.9,59.1,43.9%,50%,14.1%,13.5%,9.2%,42.3%
1274,Texas-(Dallas) Comets,26,100%,87.3,81.4,0.933,35.2,29.5,64.6,45.6%,50.7%,14%,14.5%,10.3%,43.9%
1275,Texas-(Permian Basin) Falcons,32,100%,90.7,84.9,0.937,31.8,30.9,62.7,49.3%,54.9%,19.1%,15.2%,11%,44%
1276,Texas-(Rio Grande Valley) Vaqueros,33,100%,86.9,74.4,0.856,37.2,25,62.2,40.2%,45.2%,15.4%,15.3%,11%,40.3%
1277,Texas-(San Antonio) Roadrunners,36,100%,84.3,77.2,0.916,35.9,27.5,63.4,43.4%,51.2%,14.6%,11.8%,8%,41.2%
1278,Texas-(Tyler) Patriots,28,100%,90.5,85.4,0.944,34.5,32.3,66.8,48.4%,54.7%,16.9%,11.2%,7.9%,43.5%
1279,The Crown College of the Bible (TN),4,100%,106.8,82,0.768,43.3,28.8,72,39.9%,47.6%,25.1%,9.8%,6.8%,33.7%
1280,Thiel,25,100%,83.6,64.9,0.776,36.7,24.4,61.2,40%,43.8%,16.5%,12.5%,10%,37.3%
1281,Thomas (GA) Night Hawks,28,100%,84.9,72,0.848,35.7,25.7,61.4,41.8%,48%,16.9%,12.6%,8.3%,39.4%
1282,Thomas (ME) Terriers,4,100%,86.5,60.5,0.699,29.8,23.5,53.3,44.1%,48.6%,28.6%,11%,6.9%,33.5%
1283,Thomas More Saints,28,100%,73.7,73,0.991,29.7,27.4,57.1,48%,54.8%,14%,10.3%,6.6%,44.8%
1284,Thompson Rivers University Wolfpack,25,100%,85.9,78.3,0.912,36.4,28.7,65.1,44.1%,50.4%,15.7%,10.9%,8.5%,41.6%
1285,Tiffin University Dragons,29,100%,79.8,69.3,0.869,33,25.6,58.5,43.7%,49.8%,17.4%,10.8%,7.4%,39.9%
1286,Toccoa Falls Eagles,21,100%,86.6,54.3,0.627,38.2,19.9,58.1,34.3%,40%,25.8%,8.3%,6.2%,28.6%
1287,Toledo Rockets,34,100%,78.8,78.4,0.996,31.1,26.8,57.9,46.3%,54.6%,14.2%,14.5%,9.1%,44.8%
1288,Toronto Varsity Blues,30,100%,87.8,75.7,0.861,41,26.1,67.1,38.9%,45.7%,13.7%,11.3%,8.1%,39.3%
1289,Tougaloo College Bulldogs,5,100%,86,81.8,0.951,30.4,28.8,59.2,48.6%,53.5%,17.2%,17%,12.6%,45.3%
1290,Towson Tigers,32,100%,81.7,75.9,0.929,32.3,27.8,60,46.2%,51.6%,15.2%,14.1%,10.2%,43.7%
1291,Transylvania University Pioneers,26,100%,86,81.4,0.946,31,29.6,60.6,48.8%,54.3%,17.3%,14.3%,9.3%,45.1%
1292,Trevecca Nazarene Trojans,29,100%,81,70.1,0.865,34.8,24.8,59.6,41.7%,48.6%,16.6%,11.6%,8.5%,39.2%
1293,Trine University Thunder,25,100%,82.1,74.9,0.913,32.5,28,60.6,46.3%,51.5%,16.3%,11.7%,7.9%,43%
1294,Trinity (TX) Tigers,28,100%,84.1,73.6,0.875,33.9,25.4,59.3,42.9%,47.4%,15.6%,16.5%,11.8%,42.2%
1295,Trinity Baptist Eagles,11,100%,85.6,55.2,0.644,38.6,20.6,59.3,34.8%,39.3%,22.4%,9.6%,7.3%,30.6%
1296,Trinity Bible College (FL) Tigers,4,100%,92.3,55.5,0.602,40.3,22.3,62.5,35.6%,38.8%,26.8%,6.5%,6%,28.7%
1297,Trinity Bible College (ND) Lions,14,100%,89.9,65.1,0.724,42.9,25.4,68.2,37.2%,42.2%,17.5%,8.1%,6.5%,33.8%
1298,Trinity Christian College (IL) Trolls,28,100%,73.6,64,0.869,30.4,23.8,54.2,43.9%,51.3%,19.2%,8.2%,6.1%,38.3%
1299,Trinity College (CT) Bantams,24,100%,83,71.8,0.865,35.6,27.2,62.8,43.3%,48.5%,15.2%,10.7%,7.2%,40%
1300,Trinity International Trojans,32,100%,92.5,86.7,0.937,37,30.7,67.8,45.3%,53.6%,16.1%,11.9%,7%,42%
1301,Trinity Western Spartans,23,100%,91.3,74.4,0.814,42,27.3,69.3,39.4%,45.8%,16.6%,9.4%,7.3%,36.5%
1302,Troy Trojans,33,100%,79.5,74.4,0.936,33,25.7,58.7,43.8%,51.3%,15%,13.2%,9.6%,42.4%
1303,Truett-McConnell College Bears,27,100%,90.4,81.5,0.901,35.5,29.6,65.1,45.4%,52.3%,17.6%,13.1%,9.7%,41.2%
1304,Truman State Bulldogs,31,100%,79.7,82.3,1.032,31.5,28.9,60.4,47.8%,56.3%,13.1%,13.6%,8.9%,45.8%
