#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
315,William Peace,27,3.4%,3,2.6,0.875,1.4,1,2.4,42.2%,49.2%,12.5%,8.8%,5%,38.8%
316,Defiance Yellow Jackets,26,5.3%,4.3,3.8,0.876,1.9,1.5,3.4,44.9%,47.2%,14.2%,11.5%,9.7%,40.7%
317,Sewanee Tigers,25,5.9%,4.9,4.3,0.877,2,1.8,3.8,47.4%,48.9%,13.1%,10.7%,9%,45.1%
318,Texas-(Tyler) Patriots,28,5.6%,5.1,4.5,0.88,2.1,1.6,3.8,43.4%,47.2%,13.4%,13.4%,11.3%,43%
319,Susquehanna University Crusaders,24,3.9%,3.1,2.8,0.88,1.1,1,2.1,48%,50%,18.7%,18.7%,13.3%,44%
320,Lynchburg Hornets,28,5.3%,4.8,4.2,0.88,1.9,1.4,3.3,42.9%,47.3%,17.3%,16.5%,14.3%,42.1%
321,Wisconsin-(Stout) Blue Devils,25,3.6%,2.7,2.4,0.881,1.1,0.8,1.9,41.7%,46.9%,16.4%,11.9%,9%,41.8%
322,Illinois College Blue Boys,22,4.2%,3.5,3,0.882,1.4,1.1,2.5,44.4%,48.1%,11.8%,17.1%,13.2%,46.1%
323,Houghton College Highlanders,20,5%,4.3,3.8,0.882,1.9,1.4,3.3,43.1%,47.7%,12.9%,14.1%,9.4%,41.2%
324,Gettysburg College Bullets,25,2.6%,2,1.8,0.882,1,0.8,1.8,45.5%,46.6%,7.8%,5.9%,3.9%,43.1%
325,Wittenberg,30,5.1%,4,3.5,0.883,1.8,1.4,3.1,43.6%,48.9%,15.8%,10.8%,10%,39.2%
326,Olivet Comets,29,3.3%,3,2.6,0.884,1.1,0.8,1.9,40%,40.9%,14%,24.4%,16.3%,46.5%
327,Whittier College Poets,23,5.4%,4.9,4.3,0.885,1.8,1.7,3.5,47.5%,49.4%,17.7%,14.2%,8%,43.4%
328,Saint Vincent Bearcats,26,5.5%,4.3,3.8,0.885,1.6,1.3,2.9,44.7%,44.7%,15%,22.1%,15.9%,46.9%
329,Bluffton,26,5.9%,4.4,3.9,0.886,1.8,1.5,3.3,45.9%,50%,14.9%,11.4%,11.4%,43%
330,Baldwin Wallace,27,9.8%,7.8,6.9,0.886,4,2.7,6.7,40.7%,43.1%,5.2%,10.9%,10%,43.1%
331,Averett University Cougars,26,5%,4.4,3.9,0.886,1.6,1.3,2.9,44%,46%,18.4%,18.4%,13.2%,43.9%
332,Southwestern University (TX) Pirates,27,5.2%,4.6,4.1,0.887,2,1.6,3.6,43.9%,47.4%,12.1%,13.7%,10.5%,41.9%
333,Haverford Fords,24,3.1%,2.6,2.3,0.887,1,0.7,1.7,42.5%,42.5%,14.5%,25.8%,19.4%,45.2%
334,Fredonia State Blue Devils,24,6%,4.9,4.3,0.889,2.2,1.8,4,44.2%,47.4%,12%,9.4%,4.3%,41.9%
335,John Jay Bloodhounds,25,6%,5.2,4.6,0.891,2.3,1.6,3.9,40.8%,43.4%,8.5%,18.6%,14%,46.5%
