#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
187,Hartwick,25,12.6%,10.6,8.3,0.778,5.2,2.9,8.1,36%,40.4%,15%,10.5%,8.3%,35.7%
188,Kalamazoo College Hornets,25,11.2%,9,7,0.778,3.8,2.4,6.3,38.9%,43.3%,19.6%,12%,9.3%,36.4%
189,York (PA) Spartans,30,0.7%,0.6,0.5,0.778,0.2,0.1,0.4,36.4%,40.9%,22.2%,16.7%,11.1%,38.9%
190,Wisconsin-(Eau Claire) Blugold,25,14.9%,10.6,8.2,0.777,4.1,3.4,7.4,45.2%,46.8%,21.2%,10.6%,10.6%,39%
191,Bethany Lutheran College,30,15.5%,12.9,10,0.775,4.8,3.6,8.4,43%,44.4%,24.6%,14%,11.4%,37.6%
192,Bard College,25,11.1%,9.9,7.7,0.774,4.4,2.7,7.1,38.4%,42.4%,17.7%,12.5%,9.7%,37.5%
193,Capital,26,9.4%,7.5,5.8,0.774,3.4,2.3,5.7,40.5%,44.3%,15.4%,9.7%,6.7%,37.4%
194,Concordia (Moorhead) Cobbers,24,16.2%,12.2,9.4,0.774,4.6,3.5,8,43%,46.6%,24%,11.6%,8.6%,37%
195,Susquehanna University Crusaders,24,7.1%,5.7,4.4,0.774,2.5,1.5,4,38.1%,42.8%,16.8%,13.9%,10.9%,38%
196,Kenyon Lords,25,7.2%,5.6,4.4,0.773,2.3,1.7,4,42%,48%,23.4%,9.2%,7.8%,34%
197,Wesleyan (CT),28,13%,11.1,8.6,0.772,4.7,2.9,7.6,38%,44.6%,21.5%,12.5%,9.6%,35%
198,Saint John's (MN) Johnnies,27,9.3%,7.1,5.5,0.771,2.9,1.9,4.9,39.7%,44.3%,21.9%,11.5%,8.9%,35.9%
199,Cazenovia,12,10.1%,8.7,6.7,0.769,3.3,2.3,5.6,41.8%,47.8%,24%,12.5%,10.6%,36.5%
200,Defiance Yellow Jackets,26,11.2%,9.5,7.3,0.769,4.4,3,7.3,40.3%,44.2%,17.8%,6.1%,5.7%,35.6%
201,Albion Britons,25,5.4%,4.5,3.4,0.768,2.3,1.2,3.5,35.2%,38.6%,10.7%,14.3%,9.8%,34.8%
202,Bethel University (MN) Royals,28,8.3%,6.5,5,0.768,2.8,2,4.8,42.2%,43.7%,20.4%,7.2%,6.1%,36.5%
203,Manhattanville College Valiant,25,11.3%,9.6,7.4,0.768,4,2.8,6.9,41.3%,46.8%,20.7%,10.4%,7.5%,34.9%
204,Stockton University,25,9.2%,7.8,6,0.768,3.8,2.1,5.9,35.4%,40.5%,13.9%,11.3%,7.2%,35.6%
205,Lehman,23,6.9%,6.1,4.7,0.766,2.9,1.7,4.6,37.7%,42.5%,15.6%,10.6%,9.2%,36.2%
206,Vassar Brewers,26,7.4%,5.9,4.5,0.766,2.6,1.8,4.4,40.4%,46.1%,18.8%,8.4%,6.5%,35.1%
207,Howard Payne Yellow Jackets,28,9%,8.5,6.5,0.765,4,2.5,6.5,38.3%,41.8%,17.2%,10.9%,9.2%,34.5%
208,Middlebury College,27,6%,5.7,4.3,0.765,2.5,1.6,4.1,38.7%,40.1%,17.6%,14.4%,11.8%,36.6%
209,Oswego State Lakers,27,12.8%,9.9,7.6,0.765,4.6,2.8,7.4,38.2%,41.5%,14.6%,13.4%,10.1%,37.3%
210,DeSales,27,5.3%,4.4,3.3,0.763,1.7,1.2,2.9,41.8%,41.8%,21.2%,13.6%,9.3%,39%
211,Emmanuel (MA) Saints,22,11.5%,9.5,7.2,0.761,4,2.8,6.8,40.7%,42.3%,18.7%,12%,9.1%,37.8%
212,New Jersey City Knights,28,8.1%,6.9,5.2,0.76,3.4,1.6,5,31.9%,36.9%,14.6%,14.6%,10.9%,34.4%
213,Wabash College Little Giants,26,18.4%,14.7,11.2,0.76,7,3,10,30.4%,35%,17%,17.8%,12.3%,35.8%
214,Carnegie Mellon Tartans,25,10.2%,8.5,6.4,0.759,3.4,2.6,6,43.6%,44.6%,20.8%,13.7%,12.7%,38.7%
215,St. Olaf Oles,28,16.6%,12.4,9.4,0.758,5,3.3,8.3,39.5%,45.3%,23.9%,10.7%,6.9%,34.6%
216,Oglethorpe Stormy Petrels,27,6.7%,5.5,4.1,0.757,2.5,1.6,4.1,39.1%,41.8%,13.5%,14.2%,10.8%,38.5%
217,Arcadia University Knights,29,7%,5.8,4.4,0.756,2.3,1.7,4,41.4%,44%,20.2%,11.3%,8.3%,37.5%
218,Hampden-Sydney Tigers,26,6.5%,5.2,3.9,0.756,2.3,1.5,3.8,39.4%,44.4%,20.7%,10.4%,7.4%,32.6%
219,Pitt Bradford Panthers,24,6.5%,5.6,4.2,0.754,2.7,1.5,4.2,36%,40%,12.7%,14.2%,11.2%,37.3%
220,Clark MA Cougars,23,15.5%,13.2,10,0.753,5.8,3.9,9.7,40.4%,43.5%,18.4%,9.2%,8.6%,37.2%
221,McDaniel Green Terror,24,21.6%,15,11.3,0.753,6.3,4,10.4,39%,41.4%,19.4%,14.7%,11.9%,36.3%
222,Babson Beavers,26,5.8%,4.7,3.5,0.752,1.3,1.3,2.7,50%,59.3%,36.4%,6.6%,5%,33.1%
223,Houghton College Highlanders,20,7%,5.5,4.1,0.752,2.3,1.5,3.8,39.5%,41.4%,19.3%,11%,8.3%,37.6%
224,SUNY Potsdam,25,10.9%,9.4,7,0.752,3.8,2.2,6.1,36.8%,43.1%,23.1%,14.1%,11.5%,35%
225,Centenary Gentlemen,25,8.1%,6.8,5.1,0.751,3,2,5,40%,44.4%,18.3%,8.9%,7.7%,35.5%
226,DePauw University Tigers,26,8.7%,6.5,4.9,0.751,2.9,1.6,4.5,35.9%,41.5%,20.1%,13.6%,10.1%,34.3%
227,Ramapo College RoadRunners,30,8.2%,7,5.2,0.751,3.3,2,5.3,38%,41.5%,16.3%,11%,9.6%,35.9%
228,Berkeley (NY) Knights,1,3.7%,4,3,0.75,2,1,3,33.3%,50%,25%,0%,0%,25%
