#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
221,Wentworth Leopards,26,11%,8.8,6.8,0.774,4,2.7,6.7,39.9%,43.4%,17%,9.6%,6.1%,36.5%
222,SUNY Geneseo Knights,26,9.5%,7.7,5.9,0.774,3.4,2.2,5.6,39.3%,43.4%,20.1%,9.5%,9%,34.7%
223,Oberlin College Yeomen,26,12.6%,10,7.8,0.777,4.5,2.8,7.3,38.1%,41.5%,16.9%,12.3%,7.7%,36.5%
224,Pacific Lutheran Lutes,24,5.7%,4.9,3.8,0.778,1.8,1.5,3.2,45.5%,48.1%,25.6%,10.3%,6%,36.8%
225,Elmira,24,5.9%,5.3,4.1,0.778,1.7,1.5,3.2,47.4%,48.7%,28.6%,15.1%,8.7%,38.9%
226,Elizabethtown College,23,8.3%,6.9,5.3,0.778,3.1,1.9,5,37.4%,41.7%,15.2%,15.8%,12.7%,38%
227,Cornell College Rams,14,14.6%,11.9,9.3,0.778,5.4,3.4,8.8,39%,42.7%,18%,10.2%,9%,37.1%
228,Wisconsin-(Eau Claire) Blugold,25,9.9%,7.2,5.6,0.779,2.6,2.2,4.8,45%,50.4%,27.6%,7.7%,6.1%,35.4%
229,Morrisville State,16,9.1%,7.6,5.9,0.779,3.4,2.1,5.6,38.2%,43.8%,17.2%,12.3%,10.7%,36.9%
230,Skidmore Thoroughbreds,26,11.6%,9.3,7.3,0.781,4,2.4,6.4,38%,40.7%,17.4%,15.3%,11.2%,38.8%
231,Fontbonne Griffins,16,8.9%,8.6,6.7,0.781,4.2,2.5,6.7,37.4%,40.2%,13.1%,11.7%,10.2%,37.2%
232,Johnson & Wales (RI) University Wildcats,20,7%,6,4.7,0.783,2.4,1.6,4,40.5%,45.6%,24.2%,14.2%,10.8%,35.8%
233,Edgewood College (WI) Eagles,28,12.6%,10.1,7.9,0.784,4.3,2.9,7.2,40.8%,44.5%,18.4%,12.4%,8.8%,37.8%
234,Buena Vista Beavers,27,9.4%,7.7,6,0.784,3.2,2.3,5.5,41.6%,47%,21.2%,7.7%,6.3%,36.5%
235,Wisconsin-(La Crosse) Eagles,26,12.6%,9.5,7.4,0.785,3.1,2.4,5.5,43.4%,47.2%,27.2%,16.7%,11%,38.2%
236,St. Joseph's (LI) Eagles,9,7.6%,6.2,4.9,0.786,2.9,1.8,4.7,38.1%,41.7%,16.1%,12.5%,10.7%,37.5%
237,Hamline Pipers,25,9.8%,7.7,6,0.786,2.5,2.2,4.7,47.5%,51.3%,29.7%,9.4%,8.9%,37.5%
238,Bard College,25,14.9%,12.9,10.1,0.786,6.4,3.9,10.4,37.8%,41.1%,13%,8.7%,6.8%,36.3%
239,Illinois Wesleyan Titans,27,10.8%,8.5,6.7,0.787,3.5,2.4,5.9,40.9%,45%,20%,12.6%,9.1%,37.4%
240,Catholic University Cardinals,25,6.1%,4.9,3.8,0.787,2.1,1.3,3.4,38.4%,41.3%,18%,13.1%,7.4%,37.7%
241,Rochester Institute of Technology Tigers,27,12.9%,10.7,8.4,0.788,4.7,2.9,7.6,38.3%,42.2%,17.4%,12.2%,9.4%,37.8%
242,North Central (IL) College Cardinals,28,12.2%,9.3,7.3,0.788,4.4,2.8,7.1,39%,43%,15.4%,9.7%,8.9%,36.3%
243,DeSales,27,8.9%,7.3,5.8,0.788,2.9,1.9,4.8,40%,46.9%,22.2%,15.7%,13.6%,34.8%
244,Adrian,27,6.9%,5.4,4.3,0.789,2.7,1.5,4.3,35.7%,40.9%,13.6%,9.5%,4.8%,36.1%
245,Fairleigh Dickinson - Florham Devils,23,8.6%,7.3,5.7,0.79,3.1,2.2,5.3,41.8%,45.1%,18.6%,10.8%,6.6%,37.7%
246,Lynchburg Hornets,28,10%,8.9,7,0.791,3.5,2.4,5.9,40%,45.2%,22.1%,14.5%,10%,36.9%
247,Alma Scots,26,6.2%,5.3,4.2,0.791,3,1.5,4.5,33.3%,36.8%,7.9%,9.4%,8.6%,36%
248,Kenyon Lords,25,14%,11,8.7,0.792,5.2,3.2,8.4,37.6%,42.1%,13.9%,10.2%,7.3%,37.6%
249,East Mennonite Royals,27,13.2%,11.4,9,0.792,5.5,3.3,8.9,37.7%,42.5%,13.7%,10.4%,9.1%,36.8%
250,Baldwin Wallace,27,13.4%,10.7,8.4,0.792,5.1,3,8.1,36.5%,40.6%,15.3%,11.1%,9%,36.1%
251,St. John Fisher Cardinals,25,9.8%,8.1,6.4,0.793,3.7,2.4,6.1,38.8%,43.8%,17.7%,8.9%,7.9%,36.5%
252,Colorado Tigers,26,8.3%,6.7,5.3,0.793,3.1,2,5.1,39.1%,41.7%,14.9%,10.3%,8.6%,38.5%
253,Ursinus Bears,27,15.8%,13,10.3,0.794,6.6,4,10.6,38.1%,41.4%,12%,8.6%,7.4%,37.1%
254,Muskingum,25,11.9%,10.5,8.3,0.794,4.8,3.2,8,40%,46%,18.7%,6.9%,5%,35.1%
255,Lebanon Valley,28,9.6%,8.1,6.5,0.794,4,2.5,6.5,38.5%,43.1%,14%,8.8%,7%,35.5%
256,Wisconsin-(Whitewater) Warhawks,25,7.7%,5.8,4.6,0.795,2.2,1.8,4.1,45.1%,48%,23.3%,7.5%,5.5%,37.7%
257,Plymouth State Panthers,13,7.8%,6.8,5.4,0.795,2.7,1.8,4.5,40.7%,46.6%,22.7%,12.5%,9.1%,36.4%
258,New Jersey City Knights,28,6.4%,5.2,4.1,0.795,1.9,1.4,3.3,41.3%,46.2%,23.3%,14.4%,11%,38.4%
259,Brooklyn Bulldogs,22,6.2%,5.1,4,0.795,2.1,1.6,3.7,43.2%,45.7%,20.5%,8.9%,7.1%,38.4%
260,Drew Rangers,26,9.9%,8.3,6.6,0.796,4,2.5,6.5,38.5%,44.1%,13%,9.7%,7.4%,37%
261,Dominican (IL) Stars,25,11.2%,9.3,7.4,0.797,3.8,2.8,6.7,42.5%,44.6%,19%,11.2%,9.1%,38.8%
262,Benedictine (IL) Eagles,26,10.9%,9.1,7.2,0.797,4,2.8,6.7,41.1%,44.3%,15.7%,12.3%,8.9%,38.6%
