team_id,team_name,player_id,player_name,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK
2,MSOE,155,Gabe_Wear,4.58,0.62,0.85,1.23,1.58,0.81,3.54,0.19,1.54,0.96,1.58,0.5,1.08,0
2,MSOE,156,Jake_Gebert,7.65,0.19,1.58,0.88,2.77,1.92,5.27,0.5,1.31,2.46,6.15,1.46,4.69,0.58
2,MSOE,157,Jason_Palesse,12.46,0.77,4.96,2.65,3.96,3.77,9.5,1.04,1.54,5.35,4.31,1.42,2.88,0.19
2,MSOE,158,Josh_Herzog,1.4,0.1,1.1,0.9,0.4,0.5,1.1,0.6,0.3,0.9,0.4,0,0.4,0
2,MSOE,159,Lennart_Rieckmann,1.33,0,0,0.33,0.67,0,1,0,0,0,0.33,0.33,0,0
2,MSOE,160,Luke_Nelson,0.68,0.05,0.47,0.53,0.26,0.11,1.11,0.47,1.05,0.11,1.16,0.26,0.89,0
2,MSOE,161,Matthew_Kirmse,16.08,3.31,1.15,0.85,5.46,1.85,12.88,0.58,1.15,2.38,4.69,0.58,4.12,0.12
2,MSOE,162,Matt_Powers,0,0,0,1,0,0,0,0,0.5,0,0.25,0.25,0,0
2,MSOE,163,Nolan_Henton,4.65,0.65,1.04,1.31,1.54,0.92,3.46,0.77,1.77,1.5,2.58,0.38,2.19,0.04
2,MSOE,164,Sammy_Linn,5.13,0.29,1.38,2.13,2.13,0.58,4.83,0.75,2.92,0.96,3.04,0.5,2.54,0.58
2,MSOE,165,Tegan_Miles,10.38,0,1.5,1.77,4.19,2,7.15,0.88,1.73,3,5.62,1.69,3.92,0.92
2,MSOE,166,Travis_Ballard,5.65,0.12,0.08,0.35,2.42,0.69,5.12,0.19,1.35,0.92,2.12,0.58,1.54,0.42
6,Roosevelt,167,Adam_Alexander,9.24,0.48,1.76,1.73,3.33,2.09,6.79,0.64,2.82,3.18,5.42,1.64,3.79,0.33
6,Roosevelt,168,Andre_Raiford_Jr.,1.69,0,0.15,0.77,0.69,0.31,1.54,0,1.31,0.62,1.77,0.62,1.15,0.08
6,Roosevelt,169,Carson_Hughes,8.91,1.97,1.18,1.27,2.88,1.18,7.58,0.7,1.7,1.58,3.15,0.45,2.7,0.06
6,Roosevelt,170,Chandler_Fuzak,6.3,0.8,0.47,1.27,2.47,0.57,4.17,0.43,2.23,0.77,2.47,0.37,2.1,0.63
6,Roosevelt,171,Grant_Gibson,7.64,1.33,1.76,1.06,2.58,1.15,6.36,1.15,1.36,1.61,3.03,0.79,2.24,0.15
6,Roosevelt,172,Jake_Asquini,6.09,1.79,1.06,0.97,2.09,0.12,4.97,0.58,1.36,0.15,1.97,0.24,1.73,0.03
6,Roosevelt,173,Jake_Ludwig,17.16,1.22,5.44,2.53,5.41,5.13,11.09,1.34,2,5.84,3.88,0.75,3.13,0.06
6,Roosevelt,174,Jordan_Radcliff,2.5,0.33,0.67,0.58,1,0.17,2.5,0.58,1,0.25,0.83,0.08,0.75,0.17
6,Roosevelt,175,Joshua_Dillingham,8.71,0,1.1,2,3.52,1.67,5.81,1.48,3.29,3.33,7.52,2.24,5.29,0.86
6,Roosevelt,176,Kevin_Day,5.36,0.7,1.39,1.21,1.94,0.79,4.55,0.33,1,1.09,2.27,0.3,1.97,0.33
6,Roosevelt,177,Kyle_Bumbalough,5.33,0.64,1.88,0.94,1.64,1.42,4.06,0.48,1.82,2.12,2.06,0.33,1.73,0.03
6,Roosevelt,178,Tariq_Archibald,2,0,0,1,1,0,1,1,0,1,0,0,0,0
6,Roosevelt,179,Tomas_Cutts,1.5,0.17,0.17,0.5,0.67,0,1.5,0,0.5,0,0.33,0.17,0.17,0.17
8,Wabash,180,Alex_Eberhard,9.69,0.69,1.19,1.92,3.19,2.62,7.54,0.58,2.5,3.12,4.88,1.27,3.62,0.62
8,Wabash,181,Ben_Stachowski,5.5,0.88,1,0.88,2,0.63,4.75,0.38,1,0.75,4.38,0.75,3.63,0
8,Wabash,182,Blake_Miller,0,0,0,0.5,0,0,0.5,0,1,0,0,0,0,0
8,Wabash,183,Colten_Garland,7.63,1.54,1.25,0.88,2.38,1.33,8.63,0.38,1.13,1.67,2.5,0.42,2.08,0.13
8,Wabash,184,Conner_Brens,3.33,0,0.27,0.4,1.53,0.27,2.8,0,2.07,0.67,3.27,0.8,2.47,0.2
