,team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Format,Type,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage,Adjusted_Overall_Average_PPP,Adjusted_Type_PPP
64,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,10,Juwan_Perry,5.0,11.92857143,0.7859999999999999,Hand Off,0.071,1.5,0.5,0.8177398574279998,1.5605722469999999
65,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,10,Juwan_Perry,5.0,11.92857143,0.7859999999999999,Post-Up,0.071,1.0,,0.8177398574279998,1.040381498
66,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,9,Jaylen_Fordham,6.52,18.48,1.081,Isolation,0.027000000000000003,1.5,1.0,1.1246523993379998,1.5605722469999999
67,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,9,Jaylen_Fordham,6.52,18.48,1.081,Hand Off,0.10099999999999999,1.733,0.769,1.1246523993379998,1.802981136034
68,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,9,Jaylen_Fordham,6.52,18.48,1.081,P&R Ball Handler,0.161,1.083,0.526,1.1246523993379998,1.1267331623339998
69,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,9,Jaylen_Fordham,6.52,18.48,1.081,Off Screen,0.121,1.167,0.462,1.1246523993379998,1.214125208166
70,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,9,Jaylen_Fordham,6.52,18.48,1.081,Post-Up,0.047,1.143,0.8,1.1246523993379998,1.189156052214
71,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,7,Dylan_Bennett,2.947368421,14.84210526,0.831,Hand Off,0.042,1.6669999999999998,1.0,0.8645570248379999,1.7343159571659996
72,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,7,Dylan_Bennett,2.947368421,14.84210526,0.831,Off Screen,0.19699999999999998,1.286,0.625,0.8645570248379999,1.3379306064279999
73,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,6,Corey_Wheeler,13.13636364,23.63636364,0.872,Post-Up,0.057999999999999996,1.0,0.5,0.9072126662559999,1.040381498
74,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,6,Corey_Wheeler,13.13636364,23.63636364,0.872,Off Screen,0.122,1.143,0.643,0.9072126662559999,1.189156052214
75,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,6,Corey_Wheeler,13.13636364,23.63636364,0.872,P&R Ball Handler,0.18600000000000003,0.9690000000000001,0.45,0.9072126662559999,1.008129671562
