,team_name,team_ast,team_fg,team_id,player_id,player_name,MP,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK
89,EastWest,7,16,1,93,Manny_Coleman,9,1.75,0,0.5,0.5,0.5,0.75,3.5,0.5,2,1.75,2.5,0.75,1.75,0
90,EastWest,7,16,1,94,Markus_Johnson,20,9.47,0.07,0.6,1.4,3.53,2.33,7.13,0.8,3.2,4.27,6.73,3.2,3.53,0.87
91,EastWest,7,16,1,95,Patrick_Rucker,21.375,12.06,1.44,2.81,2.44,4,2.63,9.38,1.44,3.06,3.38,4.5,0.69,3.81,0.13
92,EastWest,7,16,1,96,Roland_Watkins,4.9167,1.25,0,0.25,0.33,0.42,0.42,1.25,0.17,1.33,0.58,0.92,0.25,0.67,0.17
93,EastWest,7,16,1,97,Scherone_Clarke,1.7778,0.44,0,0.11,0.33,0.22,0,0.89,0,2.22,0.22,1.11,0.33,0.78,0.22
94,EastWest,7,16,1,98,Sherman_Brown,6.0909,2.45,0,0.36,0.73,1,0.45,2.55,0.36,2.82,0.73,1.73,0.73,1,0.18
95,EastWest,7,16,1,99,Sherman_Carter,22.7143,15.93,1.79,2.29,3.71,5.21,3.71,15.07,1.14,3.14,5,3.07,1.29,1.79,0.14
96,EastWest,7,16,1,100,Stanley_Thomas,14,3,0,0.5,0.5,0,3,2,0.5,3,5,2.5,1,1.5,1
97,Fontbonne,16,27,10,101,Anthony_Loper,10.8333,2.17,0,0.67,0.83,0.83,0.5,2.67,0.5,2.17,1,2.17,0.83,1.33,0
98,Fontbonne,16,27,10,102,Brian_Wacha,2,0.6,0.2,0,0.2,0.2,0,0.2,0,0.4,0,0.2,0.2,0,0
99,Fontbonne,16,27,10,103,Erich_Schark,21,7.81,0.19,2.13,1.81,3.25,1.13,5.56,0.44,2.38,1.94,4.75,1.44,3.31,0.88
100,Fontbonne,16,27,10,104,Garrett_Goodnight,9.1429,0.14,0,0.86,0.57,0,0.14,0.86,0.86,1.29,0.29,0.57,0,0.57,0
101,Fontbonne,16,27,10,105,Jack_Lake,14.6,4.8,0.4,0.4,1.6,2,0.4,5.8,0,2.2,0.4,2.2,0.8,1.4,0.4
102,Fontbonne,16,27,10,106,Jacob_Mueller,2.5,1.5,0.5,0.25,0.75,0.5,0,0.5,0,0.5,0,0.25,0.25,0,0
103,Fontbonne,16,27,10,107,Jahmad_Wilburn,10.3636,2.73,0.09,0.55,1,1.09,0.45,2.36,0.27,1.64,0.91,2.82,0.73,2.09,0.09
104,Fontbonne,16,27,10,108,James_Wiggins,23.9375,6.81,0.13,2.19,2.44,2.38,1.94,5.19,0.69,3.06,2.56,3.25,1.19,2.06,0.13
105,Fontbonne,16,27,10,109,Jared_Woodcock,23.25,9.94,0.94,0.94,1.75,3.25,2.5,7.5,0.44,1.69,3.19,3.75,1.31,2.44,0.25
106,Fontbonne,16,27,10,110,Kalin_Mitchell,5.6667,0.33,0,0,2.33,0,0.33,0,0,0.67,0.67,0.67,0,0.67,0
107,Fontbonne,16,27,10,111,Kris_Mccann,31,18,1.19,4.75,3.13,6.69,3.44,15,0.88,1.69,4.88,3.69,1.25,2.44,0
108,Fontbonne,16,27,10,112,Logan_KelleyWolff,6.625,1.25,0,0.75,0.5,0.63,0,1.63,0.25,1.25,0.13,1.38,0.38,1,0.13
109,Fontbonne,16,27,10,113,Luke_Darst,4,2,0,0,0,0,2,1,2,0,4,1,0,1,0
110,Fontbonne,16,27,10,114,Luke_Deline,27.75,16.33,2.58,2.33,3.5,6,1.75,12.08,1.5,1.67,2.58,6.33,0.92,5.42,0
111,Fontbonne,16,27,10,115,Maguire_Scheer,7.875,2.13,0.63,0.75,0.5,0.75,0,2.25,0.25,0.5,0,0.88,0.13,0.75,0
112,Fontbonne,16,27,10,116,Noah_Coddington,17.4286,7,0.21,1.93,1.64,2.71,1.36,5.36,0.43,2.14,1.86,5.5,1.29,4.21,0.79
113,Fontbonne,16,27,10,117,Thomas_Ritter,16.875,7.19,1.31,1,1.25,2.56,0.75,5.25,0.31,1.38,1.06,1.94,0.44,1.5,0.06
114,Fontbonne,16,27,10,118,Tristan_Baker,18.0625,9.19,0.94,1.38,1.25,2.88,2.5,5,0.5,1.88,3.63,3.56,1.06,2.5,0
115,Knox,11,20,9,119,Aaron_Crose,10.1667,2.92,0.25,0.42,0.83,0.83,1,2.33,0.08,2.42,1.83,1.17,0.5,0.67,0.08
116,Knox,11,20,9,120,Alik_Airapetyan,5.0909,1.09,0.18,0.45,0.91,0.45,0,1.36,0.09,0.55,0.09,0.91,0.09,0.82,0
117,Knox,11,20,9,121,Blake_Godbold,29.7059,8.12,0.76,1.29,1.71,3.06,1.24,7,0.76,1.94,1.35,6.06,1.24,4.82,0.29
118,Knox,11,20,9,122,Bryce_Wilkinson,9.375,3.75,0.81,0.5,0.81,1.06,0.81,2.69,0.19,1.25,0.88,1.31,0.56,0.75,0
119,Knox,11,20,9,123,Danny_Serrano,2.125,0,0,0.25,0,0,0,0,0.25,0.13,0,0.25,0,0.25,0
120,Knox,11,20,9,124,Deryk_Ruple,27.4118,10.06,2.12,1.82,1.65,3.76,0.41,10.71,0.88,1.24,0.94,2.88,0.35,2.53,0
121,Knox,11,20,9,125,Dj_Lewis,23.8235,7.35,0.94,2.35,2,2.76,0.88,7,1.18,2.82,1.59,2.53,0.29,2.24,0.18
122,Knox,11,20,9,126,Eric_Pillath,7.4,1.9,0.3,0.3,0.4,0.7,0.2,1.7,0.2,1.2,0.2,1,0.1,0.9,0
123,Knox,11,20,9,127,Eric_Thompson,11.6667,4.33,0,0.44,0.89,2,0.33,3.67,0.78,2,0.56,2.22,0.67,1.56,0.11
124,Knox,11,20,9,128,Garrett_Stone,8.5,0.57,0.07,0.43,0.57,0.14,0.21,0.71,0.21,0.86,0.36,0.5,0.14,0.36,0.07
125,Knox,11,20,9,129,Ikenna_Ozor,11.2222,4.11,0,0.67,0.56,1.78,0.56,2.33,0.22,1.44,0.89,1.89,0.67,1.22,0
126,Knox,11,20,9,130,Jacob_Kampf,19.4545,7.18,1.64,2.45,1.45,2.27,1,6.91,0.64,1.18,1.64,0.64,0.09,0.55,0
127,Knox,11,20,9,131,Jeremiah_Horton,3.9,1.9,0.3,0.2,0.3,0.8,0,1.2,0,0.1,0.1,0.6,0.1,0.5,0
128,Knox,11,20,9,132,John_Tsahageas,2.1,0.4,0,0.2,0.1,0.2,0,0.3,0,0.3,0,0.2,0.2,0,0
129,Knox,11,20,9,133,Jonathan_Damota,27.7647,12.06,0.53,1.29,3.18,4.71,2.12,10.35,1.24,2,2.82,3.24,1.12,2.12,0.24
130,Knox,11,20,9,134,Marko_Protic,22.6471,5.41,0.18,0.88,1.71,2.06,1.12,4.88,0.24,2.24,2,5.76,2.47,3.29,0.41
131,Knox,11,20,9,135,Sean_Pollock,2.1,0.4,0,0,0,0.2,0,0.4,0,0.1,0.4,0.1,0,0.1,0
132,Knox,11,20,9,136,Tyre_Dukes,10.2,1.4,0.13,0.93,0.87,0.53,0.2,1.2,0.2,0.6,0.6,0.8,0.13,0.67,0
133,MoodyBible,11,17,4,137,Aaron_Brown,0.3333,0.67,0,0,0.33,0.33,0,1.33,0,0.33,0,0.33,0,0.33,0
134,MoodyBible,11,17,4,138,David_Arabis,20.8,9.8,2.6,4.8,4.2,3.6,0,9.8,1.2,1.6,0.8,4.4,1,3.4,0
135,MoodyBible,11,17,4,139,Jacob_Kim,18.75,4.5,1,0.5,1,1.75,0,3.75,1,1,1,3.25,0.75,2.5,0
136,MoodyBible,11,17,4,140,Jeremiah_Ransom,1.75,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0.5,0
137,MoodyBible,11,17,4,141,Jonah_Wilson,9.8,3.4,0.6,0.4,1,1.4,0,3.6,0.8,0.8,0.4,1.6,0.8,0.8,0
138,MoodyBible,11,17,4,142,Jonathan_Raub,13.75,4.75,0.25,1.5,1.75,1.75,1,4.5,0,3,1.25,3.25,1,2.25,0.5
139,MoodyBible,11,17,4,143,Joseph_Shidler,7.5,2.75,0.75,1,1.5,1,0,5.25,0,0.75,0,0.75,0.25,0.5,0
140,MoodyBible,11,17,4,144,Joshua_Wedeven,20.4,17.6,2.6,1.6,4,5.8,3.4,14.8,0.6,3,4.2,6,0.8,5.2,1.2
141,MoodyBible,11,17,4,145,Kent_Hinrichsen,7.6667,4,0,0.33,0.67,1.33,1.33,3,1,1.67,1.33,3.67,1.33,2.33,1.67
142,MoodyBible,11,17,4,146,Keynan_Carter,9.4,5.4,0,1.2,1.8,1.8,1.8,4.6,1.8,1.6,4.2,1.2,0,1.2,0.8
143,MoodyBible,11,17,4,147,Levi_Miller,21,12.4,2.8,2,2,4.4,0.8,12.2,0.4,2.4,1,3,0.2,2.8,0.2
144,MoodyBible,11,17,4,148,Mitchell_Giedd,0.3333,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0
145,MoodyBible,11,17,4,149,Zachary_Daniels,0.3333,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0
146,MSOE,13,22,2,150,Anthony_Bartman,2.5,0.5,0,0,0,0.25,0,0.5,0.25,0.5,0,0,0,0,0.25
147,MSOE,13,22,2,151,Bailey_Mcdaniel,7.7391,2.96,0.17,0.35,0.65,1,0.78,2.09,0.13,1.17,1.09,1.3,0.22,1.09,0.09
148,MSOE,13,22,2,152,Brian_Dorn,10.9615,2.31,0.04,0.77,1.04,0.88,0.5,1.85,0.19,1.19,0.85,1.35,0.5,0.85,0
149,MSOE,13,22,2,153,David_Llorente,2,0.45,0,0,0.36,0.18,0.09,0.64,0,0.45,0.18,0.09,0,0.09,0
150,MSOE,13,22,2,154,Eddie_Harwick,1.4,0.6,0,0.2,0,0.2,0.2,0.4,0,0,0.4,0.4,0,0.4,0
151,MSOE,13,22,2,155,Gabe_Wear,16.6538,4.58,0.62,0.85,1.23,1.58,0.81,3.54,0.19,1.54,0.96,1.58,0.5,1.08,0
152,MSOE,13,22,2,156,Jake_Gebert,20.8846,7.65,0.19,1.58,0.88,2.77,1.92,5.27,0.5,1.31,2.46,6.15,1.46,4.69,0.58
153,MSOE,13,22,2,157,Jason_Palesse,28.4231,12.46,0.77,4.96,2.65,3.96,3.77,9.5,1.04,1.54,5.35,4.31,1.42,2.88,0.19
154,MSOE,13,22,2,158,Josh_Herzog,5.2,1.4,0.1,1.1,0.9,0.4,0.5,1.1,0.6,0.3,0.9,0.4,0,0.4,0
155,MSOE,13,22,2,159,Lennart_Rieckmann,1,1.33,0,0,0.33,0.67,0,1,0,0,0,0.33,0.33,0,0
156,MSOE,13,22,2,160,Luke_Nelson,5.6316,0.68,0.05,0.47,0.53,0.26,0.11,1.11,0.47,1.05,0.11,1.16,0.26,0.89,0
157,MSOE,13,22,2,161,Matthew_Kirmse,28.4615,16.08,3.31,1.15,0.85,5.46,1.85,12.88,0.58,1.15,2.38,4.69,0.58,4.12,0.12
158,MSOE,13,22,2,162,Matt_Powers,1.5,0,0,0,1,0,0,0,0,0.5,0,0.25,0.25,0,0
159,MSOE,13,22,2,163,Nolan_Henton,23.7308,4.65,0.65,1.04,1.31,1.54,0.92,3.46,0.77,1.77,1.5,2.58,0.38,2.19,0.04
160,MSOE,13,22,2,164,Sammy_Linn,12.5833,5.13,0.29,1.38,2.13,2.13,0.58,4.83,0.75,2.92,0.96,3.04,0.5,2.54,0.58
161,MSOE,13,22,2,165,Tegan_Miles,27.3846,10.38,0,1.5,1.77,4.19,2,7.15,0.88,1.73,3,5.62,1.69,3.92,0.92
162,MSOE,13,22,2,166,Travis_Ballard,11.3462,5.65,0.12,0.08,0.35,2.42,0.69,5.12,0.19,1.35,0.92,2.12,0.58,1.54,0.42
163,Roosevelt,10,23,6,167,Adam_Alexander,26.2727,9.24,0.48,1.76,1.73,3.33,2.09,6.79,0.64,2.82,3.18,5.42,1.64,3.79,0.33
164,Roosevelt,10,23,6,168,Andre_Raiford_Jr.,8.0769,1.69,0,0.15,0.77,0.69,0.31,1.54,0,1.31,0.62,1.77,0.62,1.15,0.08
165,Roosevelt,10,23,6,169,Carson_Hughes,24.0303,8.91,1.97,1.18,1.27,2.88,1.18,7.58,0.7,1.7,1.58,3.15,0.45,2.7,0.06
166,Roosevelt,10,23,6,170,Chandler_Fuzak,13,6.3,0.8,0.47,1.27,2.47,0.57,4.17,0.43,2.23,0.77,2.47,0.37,2.1,0.63
167,Roosevelt,10,23,6,171,Grant_Gibson,23.7879,7.64,1.33,1.76,1.06,2.58,1.15,6.36,1.15,1.36,1.61,3.03,0.79,2.24,0.15
168,Roosevelt,10,23,6,172,Jake_Asquini,18.7273,6.09,1.79,1.06,0.97,2.09,0.12,4.97,0.58,1.36,0.15,1.97,0.24,1.73,0.03
169,Roosevelt,10,23,6,173,Jake_Ludwig,28.3125,17.16,1.22,5.44,2.53,5.41,5.13,11.09,1.34,2,5.84,3.88,0.75,3.13,0.06
170,Roosevelt,10,23,6,174,Jordan_Radcliff,7.75,2.5,0.33,0.67,0.58,1,0.17,2.5,0.58,1,0.25,0.83,0.08,0.75,0.17
171,Roosevelt,10,23,6,175,Joshua_Dillingham,19.8571,8.71,0,1.1,2,3.52,1.67,5.81,1.48,3.29,3.33,7.52,2.24,5.29,0.86
172,Roosevelt,10,23,6,176,Kevin_Day,13.7273,5.36,0.7,1.39,1.21,1.94,0.79,4.55,0.33,1,1.09,2.27,0.3,1.97,0.33
