Type,Format,team_name,element_name,percentage_of_time,ppp,overall_average_ppp,field_goal_percentage
Weakness,Offensive,CornellCollege,Miscellaneous,0.096,0.422,0.819,0.375
Weakness,Offensive,CornellCollege,P&R Ball Handler,0.127,0.618,0.819,0.35
Weakness,Offensive,CornellCollege,P&R Roll Man,0.044,0.76,0.819,0.371
Weakness,Offensive,CornellCollege,Isolation,0.03,0.765,0.819,0.318
Weakness,Offensive,CornellCollege,Off Screen,0.028,0.75,0.819,0.37
Weakness,Offensive,Chicago,Post-Up,0.083,0.837,0.892,0.472
Weakness,Offensive,Chicago,Isolation,0.026,0.685,0.892,0.275
Weakness,Offensive,Chicago,Miscellaneous,0.089,0.443,0.892,0.538
Weakness,Offensive,Chicago,P&R Ball Handler,0.067,0.848,0.892,0.446
Weakness,Offensive,Chicago,Hand Off,0.071,0.815,0.892,0.301
Weakness,Offensive,Carthage,Off Screen,0.095,0.838,0.926,0.368
Weakness,Offensive,Carthage,Hand Off,0.01,0.7,0.926,0.294
Weakness,Offensive,Carthage,P&R Roll Man,0.028,0.772,0.926,0.37
Weakness,Offensive,Carthage,Isolation,0.079,0.804,0.926,0.36
Weakness,Offensive,Carthage,Miscellaneous,0.081,0.399,0.926,0.3
Weakness,Offensive,Albion,Post-Up,0.154,0.834,0.87,0.491
Weakness,Offensive,Albion,Miscellaneous,0.082,0.404,0.87,0.28
Weakness,Offensive,Albion,P&R Roll Man,0.014,0.379,0.87,0.154
Weakness,Offensive,Albion,Hand Off,0.017,0.833,0.87,0.393
Weakness,Offensive,Albion,Isolation,0.043,0.596,0.87,0.328
Weakness,Offensive,Albion,Off Screen,0.043,0.711,0.87,0.321
Weakness,Offensive,Albion,P&R Ball Handler,0.054,0.768,0.87,0.352
