Type,Format,team_name,element_name,percentage_of_time,ppp,average_ppp,field_goal_percentage
Strength,Defensive,CornellCollege,P&R Roll Man,0.047,0.704,0.89,0.357
Strength,Defensive,Chicago,Post-Up,0.087,0.761,0.881,0.452
Strength,Defensive,Chicago,Miscellaneous,0.064,0.589,0.881,0.455
Strength,Defensive,Chicago,Isolation,0.04,0.837,0.881,0.435
Strength,Defensive,Chicago,Hand Off,0.049,0.869,0.881,0.386
Strength,Defensive,Chicago,Off Screen,0.083,0.76,0.881,0.338
Strength,Defensive,Chicago,P&R Ball Handler,0.139,0.737,0.881,0.343
Strength,Defensive,Carthage,Post-Up,0.094,0.742,0.891,0.396
Strength,Defensive,Carthage,Miscellaneous,0.088,0.591,0.891,0.391
Strength,Defensive,Carthage,Hand Off,0.029,0.741,0.891,0.326
Strength,Defensive,Carthage,Isolation,0.044,0.693,0.891,0.358
Strength,Defensive,Carthage,P&R Ball Handler,0.125,0.809,0.891,0.406
Strength,Defensive,Albion,Transition,0.142,0.929,0.971,0.459
Strength,Defensive,Albion,P&R Ball Handler,0.101,0.871,0.971,0.472
Strength,Defensive,Albion,Isolation,0.048,0.905,0.971,0.533
Strength,Defensive,Albion,P&R Roll Man,0.045,0.82,0.971,0.423
Strength,Defensive,Albion,Miscellaneous,0.067,0.664,0.971,0.375
Weakness,Defensive,WheatonIL,Hand Off,0.028,1.05,0.911,0.438
Weakness,Defensive,WheatonIL,Transition,0.137,1.086,0.911,0.531
Weakness,Defensive,WheatonIL,Cut,0.094,1.125,0.911,0.573
Weakness,Defensive,WheatonIL,Offensive Rebounds (put backs),0.067,1.092,0.911,0.561
Weakness,Defensive,Wabash,Isolation,0.051,0.99,0.899,0.447
Weakness,Defensive,Wabash,Spot Up,0.212,0.929,0.899,0.358
Weakness,Defensive,Wabash,Transition,0.165,0.988,0.899,0.461
Weakness,Defensive,Wabash,Cut,0.061,0.992,0.899,0.528
Weakness,Defensive,Wabash,P&R Roll Man,0.054,0.919,0.899,0.412
Weakness,Defensive,Wabash,Offensive Rebounds (put backs),0.052,1.206,0.899,0.605
Weakness,Defensive,UWPlatteville,Post-Up,0.136,0.878,0.821,0.475
Weakness,Defensive,UWPlatteville,Transition,0.113,0.902,0.821,0.453
Weakness,Defensive,UWPlatteville,Spot Up,0.24,0.873,0.821,0.347
Weakness,Defensive,UWPlatteville,P&R Roll Man,0.033,0.836,0.821,0.39
Weakness,Defensive,UWPlatteville,Hand Off,0.033,0.932,0.821,0.379
Weakness,Defensive,UWPlatteville,Offensive Rebounds (put backs),0.057,1.11,0.821,0.581
Weakness,Defensive,UWPlatteville,Cut,0.067,1.094,0.821,0.58
Weakness,Defensive,Rose-Hulman,Cut,0.068,1.181,0.923,0.641
Weakness,Defensive,Rose-Hulman,Spot Up,0.267,1.011,0.923,0.412
Weakness,Defensive,Rose-Hulman,P&R Roll Man,0.05,0.925,0.923,0.44
Weakness,Defensive,Rose-Hulman,Offensive Rebounds (put backs),0.052,1.108,0.923,0.533
Weakness,Defensive,Rose-Hulman,Transition,0.134,1.025,0.923,0.527
Weakness,Defensive,Roosevelt,Spot Up,0.262,0.895,0.841,0.36
Weakness,Defensive,Roosevelt,Hand Off,0.023,0.898,0.841,0.452
Weakness,Defensive,Roosevelt,Offensive Rebounds (put backs),0.061,0.948,0.841,0.462
Weakness,Defensive,Roosevelt,Cut,0.084,1.085,0.841,0.56
Weakness,Defensive,Roosevelt,Post-Up,0.112,0.844,0.841,0.469
Weakness,Defensive,Roosevelt,Transition,0.14,0.941,0.841,0.46
Weakness,Defensive,OlivetCollege,Spot Up,0.278,0.917,0.914,0.363
Weakness,Defensive,OlivetCollege,Transition,0.238,1.036,0.914,0.51
Weakness,Defensive,OlivetCollege,Cut,0.15,1.041,0.914,0.562
Weakness,Defensive,OlivetCollege,Offensive Rebounds (put backs),0.067,1.098,0.914,0.59
Weakness,Defensive,OlivetCollege,Post-Up,0.036,0.957,0.914,0.579
Weakness,Defensive,OlivetCollege,P&R Roll Man,0.016,1.095,0.914,0.615
Weakness,Defensive,NorthPark,Transition,0.191,1.196,0.971,0.598
Weakness,Defensive,NorthPark,Cut,0.093,1.138,0.971,0.633
Weakness,Defensive,NorthPark,Off Screen,0.071,1.097,0.971,0.46
Weakness,Defensive,NorthPark,Offensive Rebounds (put backs),0.071,1.105,0.971,0.588
Weakness,Defensive,NorthPark,P&R Roll Man,0.028,1.089,0.971,0.522
Weakness,Defensive,MSOE,P&R Roll Man,0.046,0.969,0.884,0.494
Weakness,Defensive,MSOE,Transition,0.162,0.958,0.884,0.492
Weakness,Defensive,MSOE,Cut,0.068,1.077,0.884,0.577
Weakness,Defensive,MSOE,Offensive Rebounds (put backs),0.051,1.038,0.884,0.527
Weakness,Defensive,MoodyBible,Post-Up,0.057,1.154,0.989,0.619
Weakness,Defensive,MoodyBible,P&R Roll Man,0.015,1.286,0.989,0.571
Weakness,Defensive,MoodyBible,Transition,0.267,1.156,0.989,0.594
Weakness,Defensive,MoodyBible,Offensive Rebounds (put backs),0.096,1.182,0.989,0.595
Weakness,Defensive,MoodyBible,Cut,0.083,1.184,0.989,0.556
Weakness,Defensive,MoodyBible,Off Screen,0.07,1.188,0.989,0.448
Weakness,Defensive,Knox,Cut,0.082,1.158,0.95,0.613
Weakness,Defensive,Knox,Spot Up,0.263,0.962,0.95,0.383
Weakness,Defensive,Knox,Post-Up,0.077,0.963,0.95,0.594
Weakness,Defensive,Knox,Isolation,0.036,1.1,0.95,0.568
Weakness,Defensive,Knox,P&R Roll Man,0.036,1.04,0.95,0.475
Weakness,Defensive,Knox,Hand Off,0.029,1.05,0.95,0.583
Weakness,Defensive,Knox,Offensive Rebounds (put backs),0.066,1.044,0.95,0.528
Weakness,Defensive,Knox,Transition,0.169,1.191,0.95,0.637
Weakness,Defensive,Kalamazoo,Transition,0.151,1.019,0.877,0.511
Weakness,Defensive,Kalamazoo,Isolation,0.052,0.953,0.877,0.464
Weakness,Defensive,Kalamazoo,Offensive Rebounds (put backs),0.058,0.916,0.877,0.468
Weakness,Defensive,Kalamazoo,Cut,0.089,1.066,0.877,0.584
Weakness,Defensive,Kalamazoo,Spot Up,0.302,0.949,0.877,0.375
Weakness,Defensive,IllinoisTech,Transition,0.151,0.978,0.838,0.491
Weakness,Defensive,IllinoisTech,Spot Up,0.209,0.923,0.838,0.368
Weakness,Defensive,IllinoisTech,Cut,0.065,0.938,0.838,0.5
Weakness,Defensive,IllinoisTech,Hand Off,0.034,0.922,0.838,0.405
Weakness,Defensive,IllinoisTech,Offensive Rebounds (put backs),0.057,0.988,0.838,0.522
