,team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Unnamed: 6,Unnamed: 7,Type,Format,element_name,percentage_of_time,ppp,overall_average_ppp,field_goal_percentage
102,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Offensive,Hand Off,0.009000000000000001,0.9470000000000001,0.903,0.5
103,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Offensive,Offensive Rebounds (put backs),0.035,1.284,0.903,0.7390000000000001
104,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Offensive,Spot Up,0.28,0.92,0.903,0.391
105,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Offensive,Cut,0.114,1.097,0.903,0.597
106,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Offensive,Isolation,0.043,0.6970000000000001,0.903,0.39399999999999996
107,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Offensive,Miscellaneous,0.085,0.5670000000000001,0.903,0.23800000000000002
108,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Offensive,P&R Ball Handler,0.114,0.828,0.903,0.42100000000000004
109,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Offensive,Post-Up,0.09300000000000001,0.892,0.903,0.518
110,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Offensive,Transition,0.147,1.14,0.945,0.551
111,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Offensive,Off Screen,0.08199999999999999,1.0390000000000001,0.945,0.419
112,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Offensive,Offensive Rebounds (put backs),0.043,1.093,0.945,0.584
113,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Offensive,Spot Up,0.223,1.047,0.945,0.406
114,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Offensive,P&R Roll Man,0.035,1.195,0.945,0.5479999999999999
115,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Offensive,Cut,0.085,1.147,0.945,0.631
116,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Offensive,Isolation,0.053,0.742,0.945,0.364
117,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Offensive,Miscellaneous,0.10400000000000001,0.585,0.945,0.222
118,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Offensive,P&R Ball Handler,0.09699999999999999,0.763,0.945,0.365
119,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Offensive,Hand Off,0.033,0.6709999999999999,0.945,0.297
120,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Offensive,Post-Up,0.09699999999999999,0.772,0.945,0.457
121,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Strength,Offensive,Transition,0.106,0.909,0.885,0.423
122,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Strength,Offensive,Post-Up,0.10800000000000001,0.9640000000000001,0.885,0.503
123,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Strength,Offensive,Spot Up,0.23800000000000002,0.956,0.885,0.364
124,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Strength,Offensive,P&R Roll Man,0.038,0.975,0.885,0.532
