team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Type,Format,element_name,percentage_of_time,type_ppp,overall_average_ppp,field_goal_percentage
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Offensive,Miscellaneous,0.089,0.202,0.792,0.385
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Offensive,P&R Ball Handler,0.127,0.612,0.792,0.336
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Offensive,Hand Off,0.045,0.65,0.792,0.356
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Offensive,Isolation,0.041,0.782,0.792,0.4
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Offensive,P&R Roll Man,0.033,0.705,0.792,0.324
Knox,17,79,81.64705882,0.958925249,0.981765857,Strength,Defensive,P&R Ball Handler,0.089,0.823,0.95,0.44
Knox,17,79,81.64705882,0.958925249,0.981765857,Strength,Defensive,Miscellaneous,0.081,0.429,0.95,0.353
Knox,17,79,81.64705882,0.958925249,0.981765857,Strength,Defensive,Off Screen,0.072,0.59,0.95,0.229
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Defensive,Cut,0.082,1.158,0.95,0.613
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Defensive,Spot Up,0.263,0.962,0.95,0.383
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Defensive,Post-Up,0.077,0.963,0.95,0.594
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Defensive,Isolation,0.036,1.1,0.95,0.568
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Defensive,P&R Roll Man,0.036,1.04,0.95,0.475
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Defensive,Hand Off,0.029,1.05,0.95,0.583
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Defensive,Offensive Rebounds (put backs),0.066,1.044,0.95,0.528
Knox,17,79,81.64705882,0.958925249,0.981765857,Weakness,Defensive,Transition,0.169,1.191,0.95,0.637
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Offensive,Post-Up,0.046,0.737,0.734,0.462
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Offensive,Offensive Rebounds (put backs),0.036,1,0.734,0.5
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Offensive,P&R Roll Man,0.01,0.75,0.734,0.25
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Offensive,Spot Up,0.263,0.89,0.734,0.379
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Offensive,Hand Off,0.094,0.923,0.734,0.344
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Offensive,Off Screen,0.087,1.111,0.734,0.5
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Weakness,Offensive,P&R Ball Handler,0.068,0.607,0.734,0.3
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Weakness,Offensive,Miscellaneous,0.094,0.256,0.734,0.75
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Weakness,Offensive,Transition,0.128,0.566,0.734,0.289
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Weakness,Offensive,Isolation,0.101,0.524,0.734,0.3
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Weakness,Offensive,Cut,0.072,0.667,0.734,0.321
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Defensive,Miscellaneous,0.072,0.242,0.989,0.5
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Defensive,Spot Up,0.221,0.95,0.989,0.375
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Defensive,P&R Ball Handler,0.063,0.552,0.989,0.316
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Defensive,Isolation,0.037,0.647,0.989,0.333
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Strength,Defensive,Hand Off,0.018,0.75,0.989,0.429
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Weakness,Defensive,Post-Up,0.057,1.154,0.989,0.619
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Weakness,Defensive,P&R Roll Man,0.015,1.286,0.989,0.571
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Weakness,Defensive,Transition,0.267,1.156,0.989,0.594
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Weakness,Defensive,Offensive Rebounds (put backs),0.096,1.182,0.989,0.595
MoodyBible,5,82.8,91.4,1.005050767,1.099040193,Weakness,Defensive,Cut,0.083,1.184,0.989,0.556
