,team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Unnamed: 6,Unnamed: 7,Type,Format,element_name,percentage_of_time,ppp,average_ppp,field_goal_percentage
141,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Weakness,Defensive,Cut,0.094,1.125,0.9109999999999999,0.573
142,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Weakness,Defensive,Offensive Rebounds (put backs),0.067,1.092,0.9109999999999999,0.561
143,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Strength,Defensive,Off Screen,0.076,0.745,0.877,0.315
144,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Strength,Defensive,Miscellaneous,0.077,0.627,0.877,0.45
145,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Strength,Defensive,P&R Roll Man,0.025,0.8270000000000001,0.877,0.42100000000000004
146,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Strength,Defensive,Hand Off,0.027999999999999997,0.7190000000000001,0.877,0.304
147,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Strength,Defensive,P&R Ball Handler,0.069,0.5920000000000001,0.877,0.299
148,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Strength,Defensive,Post-Up,0.075,0.7290000000000001,0.877,0.44
149,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Weakness,Defensive,Transition,0.151,1.0190000000000001,0.877,0.511
150,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Weakness,Defensive,Isolation,0.052000000000000005,0.953,0.877,0.46399999999999997
151,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Weakness,Defensive,Offensive Rebounds (put backs),0.057999999999999996,0.9159999999999999,0.877,0.46799999999999997
152,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Weakness,Defensive,Cut,0.08900000000000001,1.0659999999999998,0.877,0.584
153,Kalamazoo,25.0,80.08,82.6,0.9720346059999999,0.993224507,,,Weakness,Defensive,Spot Up,0.302,0.9490000000000001,0.877,0.375
154,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Strength,Defensive,Miscellaneous,0.071,0.441,0.971,0.522
155,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Strength,Defensive,Spot Up,0.21600000000000003,0.938,0.971,0.36
156,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Strength,Defensive,Post-Up,0.121,0.873,0.971,0.508
157,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Strength,Defensive,P&R Ball Handler,0.079,0.742,0.971,0.35100000000000003
158,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Strength,Defensive,Isolation,0.034,0.87,0.971,0.479
159,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Strength,Defensive,Hand Off,0.025,0.863,0.971,0.444
160,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Weakness,Defensive,Transition,0.191,1.196,0.971,0.598
161,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Weakness,Defensive,Cut,0.09300000000000001,1.138,0.971,0.633
162,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Weakness,Defensive,Off Screen,0.071,1.097,0.971,0.46
163,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Weakness,Defensive,Offensive Rebounds (put backs),0.071,1.105,0.971,0.588
164,NorthPark,25.0,78.6,80.88,0.9540699309999999,0.972542351,,,Weakness,Defensive,P&R Roll Man,0.027999999999999997,1.089,0.971,0.522
165,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Strength,Defensive,Miscellaneous,0.084,0.38299999999999995,0.821,0.261
166,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Strength,Defensive,Off Screen,0.064,0.701,0.821,0.294
167,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Strength,Defensive,Isolation,0.064,0.792,0.821,0.382
168,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Strength,Defensive,P&R Ball Handler,0.11,0.626,0.821,0.322
169,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Weakness,Defensive,Post-Up,0.136,0.878,0.821,0.475
170,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Weakness,Defensive,Transition,0.113,0.902,0.821,0.45299999999999996
171,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Weakness,Defensive,Spot Up,0.24,0.873,0.821,0.34700000000000003
172,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Weakness,Defensive,P&R Roll Man,0.033,0.836,0.821,0.39
173,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Weakness,Defensive,Hand Off,0.033,0.932,0.821,0.379
174,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Weakness,Defensive,Offensive Rebounds (put backs),0.057,1.11,0.821,0.581
175,UWPlatteville,29.0,76.31034483,77.24137931,0.9262774229999999,0.92878972,,,Weakness,Defensive,Cut,0.067,1.094,0.821,0.58
176,OlivetCollege,28.0,93.82142857,92.21428571,1.13883211,1.10883158,,,Strength,Defensive,Miscellaneous,0.1,0.37799999999999995,0.914,0.303
177,OlivetCollege,28.0,93.82142857,92.21428571,1.13883211,1.10883158,,,Strength,Defensive,P&R Ball Handler,0.046,0.847,0.914,0.41600000000000004
178,OlivetCollege,28.0,93.82142857,92.21428571,1.13883211,1.10883158,,,Strength,Defensive,Isolation,0.033,0.884,0.914,0.4
